copy,copy,copy,copy,copy,copy,copy,copy
0.2,_______________
0.2,META_DATA_START
161046.2,RESULT_CYCLE-10000-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-10000-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-10000-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-10500-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-10500-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-10500-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-10500-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-10500-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-10500-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-11000-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-11000-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-11000-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-11000-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-11000-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-11000-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-11500-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-11500-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-11500-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-11500-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-11500-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-11500-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-12000-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-12000-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-12000-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-12000-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-12000-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-12000-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-12500-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-12500-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-12500-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-12500-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-12500-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-12500-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-13000-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-13000-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-13000-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-13000-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-13000-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-13000-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-13500-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-13500-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-13500-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-13500-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-13500-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-13500-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-14000-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-14000-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-14000-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-14000-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-14000-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-14000-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-14500-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-14500-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-14500-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-14500-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-14500-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-14500-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-15000-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-15000-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-15000-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-15000-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-15000-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-15000-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-15500-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-15500-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-15500-CURRENT-0.5-AMPS,PASS
161046.3,RESULT_CYCLE-15500-CURRENT-0.55-AMPS,PASS
161046.3,RESULT_CYCLE-15500-CURRENT-0.6-AMPS,PASS
161046.3,RESULT_CYCLE-15500-CURRENT-1-AMPS,PASS
161046.3,RESULT_CYCLE-16000-CURRENT-0.4-AMPS,FAIL
161046.3,RESULT_CYCLE-16000-CURRENT-0.45-AMPS,FAIL
161046.3,RESULT_CYCLE-16000-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-16000-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-16000-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-16000-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-16500-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-16500-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-16500-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-16500-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-16500-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-16500-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-17000-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-17000-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-17000-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-17000-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-17000-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-17000-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-17500-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-17500-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-17500-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-17500-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-17500-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-17500-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-18000-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-18000-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-18000-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-18000-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-18000-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-18000-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-18500-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-18500-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-18500-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-18500-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-18500-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-18500-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-19000-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-19000-CURRENT-0.45-AMPS,FAIL
161046.4,RESULT_CYCLE-19000-CURRENT-0.5-AMPS,PASS
161046.4,RESULT_CYCLE-19000-CURRENT-0.55-AMPS,PASS
161046.4,RESULT_CYCLE-19000-CURRENT-0.6-AMPS,PASS
161046.4,RESULT_CYCLE-19000-CURRENT-1-AMPS,PASS
161046.4,RESULT_CYCLE-19500-CURRENT-0.4-AMPS,FAIL
161046.4,RESULT_CYCLE-19500-CURRENT-0.45-AMPS,FAIL
161046.5,RESULT_CYCLE-19500-CURRENT-0.5-AMPS,PASS
161046.5,RESULT_CYCLE-19500-CURRENT-0.55-AMPS,PASS
161046.5,RESULT_CYCLE-19500-CURRENT-0.6-AMPS,PASS
161046.5,RESULT_CYCLE-19500-CURRENT-1-AMPS,PASS
161046.5,RESULT_CYCLE-20000-CURRENT-0.4-AMPS,FAIL
161046.5,RESULT_CYCLE-20000-CURRENT-0.45-AMPS,FAIL
161046.5,RESULT_CYCLE-20000-CURRENT-0.5-AMPS,PASS
161046.5,RESULT_CYCLE-20000-CURRENT-0.55-AMPS,PASS
161046.5,RESULT_CYCLE-20000-CURRENT-0.6-AMPS,PASS
161046.5,RESULT_CYCLE-20000-CURRENT-1-AMPS,PASS
161045.9,RESULTS_OVERVIEW_END
15.5,______________________________
15.5,CYCLE-0-CURRENT-0.4-AMPS_START
15.5,cycle-0-current-0.4-speed-60-trial-0-down-start,0.4,60.0,0.0,0.0,True,PASS
18.8,cycle-0-current-0.4-speed-60-trial-0-down-end,0.4,60.0,76.5,76.5,True,PASS
20.6,cycle-0-current-0.4-speed-60-trial-0-up-start,0.4,60.0,76.5,76.5,True,PASS
24.0,cycle-0-current-0.4-speed-60-trial-0-up-end,0.4,60.0,1.0,1.0,True,PASS
25.9,cycle-0-current-0.4-speed-60-trial-1-down-start,0.4,60.0,1.0,1.0,True,PASS
29.2,cycle-0-current-0.4-speed-60-trial-1-down-end,0.4,60.0,76.5,76.5,True,PASS
31.0,cycle-0-current-0.4-speed-60-trial-1-up-start,0.4,60.0,76.5,76.5,True,PASS
34.3,cycle-0-current-0.4-speed-60-trial-1-up-end,0.4,60.0,1.0,1.0,True,PASS
36.3,cycle-0-current-0.4-speed-60-trial-2-down-start,0.4,60.0,1.0,1.0,True,PASS
39.6,cycle-0-current-0.4-speed-60-trial-2-down-end,0.4,60.0,76.5,76.5,True,PASS
41.4,cycle-0-current-0.4-speed-60-trial-2-up-start,0.4,60.0,76.5,76.5,True,PASS
44.6,cycle-0-current-0.4-speed-60-trial-2-up-end,0.4,60.0,1.0,1.0,True,PASS
46.6,cycle-0-current-0.4-speed-60-trial-3-down-start,0.4,60.0,1.0,1.0,True,PASS
49.9,cycle-0-current-0.4-speed-60-trial-3-down-end,0.4,60.0,76.5,76.5,True,PASS
51.7,cycle-0-current-0.4-speed-60-trial-3-up-start,0.4,60.0,76.5,76.5,True,PASS
55.0,cycle-0-current-0.4-speed-60-trial-3-up-end,0.4,60.0,1.0,1.0,True,PASS
56.9,cycle-0-current-0.4-speed-60-trial-4-down-start,0.4,60.0,1.0,1.0,True,PASS
60.2,cycle-0-current-0.4-speed-60-trial-4-down-end,0.4,60.0,76.5,76.5,True,PASS
62.0,cycle-0-current-0.4-speed-60-trial-4-up-start,0.4,60.0,76.5,76.5,True,PASS
65.3,cycle-0-current-0.4-speed-60-trial-4-up-end,0.4,60.0,1.0,1.0,True,PASS
67.2,cycle-0-current-0.4-speed-60-trial-5-down-start,0.4,60.0,1.0,1.0,True,PASS
70.5,cycle-0-current-0.4-speed-60-trial-5-down-end,0.4,60.0,76.5,76.5,True,PASS
72.3,cycle-0-current-0.4-speed-60-trial-5-up-start,0.4,60.0,76.5,76.5,True,PASS
75.6,cycle-0-current-0.4-speed-60-trial-5-up-end,0.4,60.0,1.0,1.0,True,PASS
77.6,cycle-0-current-0.4-speed-60-trial-6-down-start,0.4,60.0,1.0,1.0,True,PASS
80.8,cycle-0-current-0.4-speed-60-trial-6-down-end,0.4,60.0,76.5,76.5,True,PASS
82.7,cycle-0-current-0.4-speed-60-trial-6-up-start,0.4,60.0,76.5,76.5,True,PASS
86.0,cycle-0-current-0.4-speed-60-trial-6-up-end,0.4,60.0,1.0,1.0,True,PASS
87.9,cycle-0-current-0.4-speed-60-trial-7-down-start,0.4,60.0,1.0,1.0,True,PASS
91.2,cycle-0-current-0.4-speed-60-trial-7-down-end,0.4,60.0,76.5,76.5,True,PASS
93.1,cycle-0-current-0.4-speed-60-trial-7-up-start,0.4,60.0,76.5,76.5,True,PASS
96.4,cycle-0-current-0.4-speed-60-trial-7-up-end,0.4,60.0,1.0,1.0,True,PASS
98.3,cycle-0-current-0.4-speed-60-trial-8-down-start,0.4,60.0,1.0,1.0,True,PASS
101.6,cycle-0-current-0.4-speed-60-trial-8-down-end,0.4,60.0,76.5,76.5,True,PASS
103.4,cycle-0-current-0.4-speed-60-trial-8-up-start,0.4,60.0,76.5,76.5,True,PASS
106.7,cycle-0-current-0.4-speed-60-trial-8-up-end,0.4,60.0,1.0,1.0,True,PASS
108.6,cycle-0-current-0.4-speed-60-trial-9-down-start,0.4,60.0,1.0,1.0,True,PASS
111.9,cycle-0-current-0.4-speed-60-trial-9-down-end,0.4,60.0,76.5,76.5,True,PASS
113.7,cycle-0-current-0.4-speed-60-trial-9-up-start,0.4,60.0,76.5,76.5,True,PASS
