0,-------,---,---,---,---,---,---,---,---
4436.64,pressure-holding-channel-1,max,2208.46,,,,,,
4436.64,pressure-holding-channel-1,average,2179.670917,,,,,,
4436.65,pressure-holding-channel-2,min,1778.07,,,,,,
4436.65,pressure-holding-channel-2,max,1836.33,,,,,,
4436.65,pressure-holding-channel-2,average,1803.759417,,,,,,
4436.65,pressure-holding-channel-3,min,2036.67,,,,,,
4436.65,pressure-holding-channel-3,max,2088.82,,,,,,
4436.66,pressure-holding-channel-3,average,2059.461667,,,,,,
4436.66,pressure-holding-channel-4,min,1986.14,,,,,,
4436.66,pressure-holding-channel-4,max,2035.32,,,,,,
4436.66,pressure-holding-channel-4,average,2007.662667,,,,,,
4436.66,pressure-holding-channel-5,min,2015.39,,,,,,
4436.67,pressure-holding-channel-5,max,2063.38,,,,,,
4436.67,pressure-holding-channel-5,average,2036.124625,,,,,,
4436.67,pressure-holding-channel-6,min,1398.33,,,,,,
4436.67,pressure-holding-channel-6,max,1745.77,,,,,,
4436.67,pressure-holding-channel-6,average,1562.532458,,,,,,
4436.67,pressure-holding-channel-7,min,1582.59,,,,,,
4436.68,pressure-holding-channel-7,max,1629.87,,,,,,
4436.68,pressure-holding-channel-7,average,1601.526625,,,,,,
4436.68,pressure-holding-channel-8,min,1.92E+03,,,,,,
4436.68,pressure-holding-channel-8,max,2142.38,,,,,,
4436.68,pressure-holding-channel-8,average,2023.303,,,,,,
4436.69,pressure-holding,stability,PASS,,,,,,
4436.69,pressure-holding,accuracy,PASS,,,,,,
4436.69,pressure-holding,delta,PASS,,,,,,
4442.78,pressure-dispensed-channel-1,min,2476.44,,,,,,
4442.78,pressure-dispensed-channel-1,max,2478.66,,,,,,
4442.78,pressure-dispensed-channel-1,average,2477.418,,,,,,
4442.79,pressure-dispensed-channel-2,min,2034.29,,,,,,
4442.79,pressure-dispensed-channel-2,max,2036.81,,,,,,
4442.79,pressure-dispensed-channel-2,average,2035.423,,,,,,
4442.79,pressure-dispensed-channel-3,min,2352.88,,,,,,
4442.79,pressure-dispensed-channel-3,max,2355.19,,,,,,
4442.8,pressure-dispensed-channel-3,average,2353.667,,,,,,
4442.8,pressure-dispensed-channel-4,min,2305.35,,,,,,
4442.8,pressure-dispensed-channel-4,max,2.31E+03,,,,,,
4442.8,pressure-dispensed-channel-4,average,2306.51,,,,,,
4442.8,pressure-dispensed-channel-5,min,2333.96,,,,,,
4442.8,pressure-dispensed-channel-5,max,2336.48,,,,,,
4442.81,pressure-dispensed-channel-5,average,2335.014,,,,,,
4442.81,pressure-dispensed-channel-6,min,1680.79,,,,,,
4442.81,pressure-dispensed-channel-6,max,1695.25,,,,,,
4442.81,pressure-dispensed-channel-6,average,1686.922,,,,,,
4442.81,pressure-dispensed-channel-7,min,1835.94,,,,,,
4442.82,pressure-dispensed-channel-7,max,1838.58,,,,,,
4442.82,pressure-dispensed-channel-7,average,1837.111,,,,,,
4442.82,pressure-dispensed-channel-8,min,2215.91,,,,,,
4442.82,pressure-dispensed-channel-8,max,2225.33,,,,,,
4442.82,pressure-dispensed-channel-8,average,2219.882,,,,,,
4442.82,pressure-dispensed,stability,PASS,,,,,,
4442.83,pressure-dispensed,accuracy,PASS,,,,,,
4451.82,pressure-post-channel-1,min,-3.75,,,,,,
4451.82,pressure-post-channel-1,max,-3.5,,,,,,
4451.82,pressure-post-channel-1,average,-3.668,,,,,,
4451.82,pressure-post-channel-2,min,-2.32,,,,,,
4451.82,pressure-post-channel-2,max,-1.87,,,,,,
4451.82,pressure-post-channel-2,average,-2.177,,,,,,
4451.83,pressure-post-channel-3,min,-1.43,,,,,,
4451.83,pressure-post-channel-3,max,-0.95,,,,,,
4451.83,pressure-post-channel-3,average,-1.246,,,,,,
4451.83,pressure-post-channel-4,min,-3.34,,,,,,
4451.83,pressure-post-channel-4,max,-3.04,,,,,,
4451.84,pressure-post-channel-4,average,-3.237,,,,,,
4451.84,pressure-post-channel-5,min,-1.12,,,,,,
4451.84,pressure-post-channel-5,max,-0.98,,,,,,
4451.84,pressure-post-channel-5,average,-1.093,,,,,,
4451.84,pressure-post-channel-6,min,-4.52,,,,,,
4451.85,pressure-post-channel-6,max,-4.11,,,,,,
4451.85,pressure-post-channel-6,average,-4.357,,,,,,
4451.85,pressure-post-channel-7,min,-2.42,,,,,,
4451.85,pressure-post-channel-7,max,-2.06,,,,,,
4451.85,pressure-post-channel-7,average,-2.325,,,,,,
4451.85,pressure-post-channel-8,min,-1.93,,,,,,
4451.86,pressure-post-channel-8,max,-1.69,,,,,,
4451.86,pressure-post-channel-8,average,-1.794,,,,,,
4451.86,pressure-post,stability,PASS,,,,,,
4451.86,pressure-post,accuracy,PASS,,,,,,
4453.35,pressure,PASS,,,,,,,
4530.4,tip-presence-ejector-height-above-nozzle,-5.3,,,,,,,
4530.41,tip-presence-pick-up-displacement,3,PASS,,,,,,
4530.41,tip-presence-pick-up-height-above-nozzle,-8.3,,,,,,,
4530.41,tip-presence-drop-displacement,2.3,PASS,,,,,,
4530.41,tip-presence-drop-height-above-nozzle,-8.2,,,,,,,
4530.41,tip-presence,PASS,,,,,,,
4530.41,-------------,,,,,,,,
4530.41,PRESSURE-DATA,,,,,,,,
,PHASE,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
4334.13,pre,-3.47,-2.12,-1.29,-3,-1.09,-4.56,-2.21,-1.71
4334.4,pre,-3.47,-1.98,-1.09,-3.08,-1.09,-4.56,-2.24,-1.72
4334.67,pre,-3.39,-2.13,-1.15,-3.12,-1.12,-4.37E+00,-2.24,-1.75
4334.94,pre,-3.4,-2.16,-1.3,-3.08,-1.22,-4.31,-2.06,-1.75
4335.21,pre,-3.4,-2.16,-1.04,-3.26,-1.21,-4.58E+00,-2.18,-1.91
4335.48,pre,-3.67,-1.94,-1.04,-3.11,-1.18,-4.65E+00,-1.98,-1.71
4335.75,pre,-3.52,-1.97E+00,-1.21,-3.11,-1.18,-4.22,-2.51,-1.42
4336.02,pre,-3.45,-2.16,-1.12,-3.22,-1.17,-4.22,-2.31,-1.64
4336.29,pre,-3.69,-2.24,-1.25,-3.32,-1.28,-4.29E+00,-2.31,-1.77
4336.56,pre,-3.69,-2.19,-1.07,-2.94,-1.1,-4.28E+00,-2.24,-1.77
4365.76,insert,2496.11,2070.8,2372.9,2321.7,2349.51,2064.67,1861.26,2450.01
4366.03,insert,2495.23,2070.8,2372.9,2321,2348.88,2062.34,1860.94,2448.43
4366.3,insert,2495.01,2070.07,2372.84,2321,2348.36,2059.43,1860.11,2446.85
